lead_origin,lead_source,do_not_email,do_not_call,total_visits,total_time_on_website,page_views_per_visit,last_activity,country,specialization,occupation,course_selection_priority,search,magazine,newspaper_article,x_education_forums,newspaper,digital_advertisement,through_recommendations,receive_course_updates,tags,lead_quality,supply_chain_updates,dm_content_updates,lead_profile,city,asym_activity_index,asym_profile_index,asym_activity_score,asym_profile_score,agreed_to_pay_cheque,free_interview_guide,last_notable_activity,lead_source_was_missing,total_visits_was_missing,specialization_was_missing,occupation_was_missing,city_was_missing,heard_about_source_was_missing,asym_data_missing,conversion_probability,rank,priority_tier,true_label
Lead Add Form,Reference,0,0,,1650,,Unreachable,,Business Administration,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,High in Relevance,0,0,Potential Lead,,2,3,14.0,19.0,0,0,Modified,0,1,0,0,1,1,0,0.9922424533825077,1,Hot,1
Landing Page Submission,Google,0,0,14,1241,3.5,Email Opened,India,Operations Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,Mumbai,3,3,16.0,20.0,0,0,Email Opened,0,0,0,0,0,0,0,0.990840913568953,2,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,Email Opened,,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,Thane & Outskirts,,,,,0,0,Email Opened,0,0,0,0,0,1,1,0.9907000564272851,3,Hot,1
Lead Add Form,Reference,0,0,,1721,,,,Operations Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Lost to EINS,Might be,0,0,Potential Lead,,,,,,0,0,Modified,0,1,0,0,1,1,1,0.9905351257569779,4,Hot,1
Lead Add Form,Reference,0,0,,1111,,,,Marketing Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,Low in Relevance,0,0,Potential Lead,Other Cities,2,3,14.0,18.0,0,0,Modified,0,1,0,0,0,1,0,0.989277333097028,5,Hot,1
API,Google,0,0,2,1132,1.0,Email Opened,India,Operations Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,2,2,15.0,16.0,0,0,Email Opened,0,0,0,0,1,1,0,0.989044472059331,6,Hot,1
API,Google,0,0,4,1272,4.0,SMS Sent,India,Marketing Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,2,2,15.0,16.0,0,0,SMS Sent,0,0,0,0,1,1,0,0.9890223329831904,7,Hot,1
Landing Page Submission,Google,0,0,4,1268,4.0,Email Opened,India,Business Administration,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Lost to EINS,Low in Relevance,0,0,Potential Lead,Other Metro Cities,2,3,15.0,18.0,0,0,Email Opened,0,0,0,0,0,0,0,0.9887040391176256,8,Hot,1
Landing Page Submission,Google,0,0,3,1224,3.0,Email Opened,India,Marketing Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Thane & Outskirts,2,3,15.0,17.0,0,0,Modified,0,0,0,0,0,0,0,0.9886492446711161,9,Hot,1
API,Organic Search,0,0,3,1557,3.0,SMS Sent,India,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,,2,2,15.0,15.0,0,0,SMS Sent,0,0,0,0,1,1,0,0.9886128099999433,10,Hot,1
Landing Page Submission,Google,0,0,11,2069,5.5,Email Opened,India,Business Administration,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,3,3,16.0,18.0,0,1,Email Opened,0,0,0,0,0,1,0,0.9882774315632515,11,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,Email Opened,,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Lateral Student,Other Cities of Maharashtra,2,3,14.0,17.0,0,0,Email Opened,0,0,0,0,0,1,0,0.9880266876732964,12,Hot,1
Landing Page Submission,Direct Traffic,0,0,3,1346,3.0,Email Opened,Bahrain,Business Administration,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Potential Lead,Mumbai,2,3,15.0,20.0,0,0,Email Opened,0,0,0,0,0,1,0,0.9878999805095421,13,Hot,1
